,000651.SZ,000333.SZ,000858.SZ,002594.SZ,300750.SZ,600276.SS,600309.SS,300059.SZ
2019-06-28,0.0,1.6256405667204355e-16,0.3873615046451561,1.4823957657263506e-16,0.612638495354844,7.468572644857763e-17,0.0,0.0
2019-09-26,0.20546904954133183,0.0,0.6930107969219726,0.0,7.763429040544348e-17,0.1015201535366953,3.7472854260307774e-16,4.7435060329862375e-17
2019-12-31,0.16602849374509798,2.850978737918833e-16,0.43311146040194476,0.0,0.04700890979522949,0.19538515384770325,0.15846598221002559,1.6339056621610795e-16
2020-04-08,1.110329469782881e-16,0.0,0.1568823286734026,9.516894443582258e-18,0.2142206285455364,0.6288970427810611,9.163654790769662e-17,0.0
2020-07-13,2.389475709039645e-16,0.0,0.11349260180229546,0.0,0.3877655955854538,0.3494250119566185,0.0,0.14931679065563216
2020-10-16,0.0,2.240116271867926e-17,0.1587701008079225,0.25235933706568736,0.40804974313438624,3.319088015904135e-17,0.1661073219167418,0.014713497075262386
2021-01-14,4.625442710606107e-16,0.039207591051451225,0.20784985023283103,0.3787380488593071,0.13047809751510528,0.01924202102004832,0.10879621995753189,0.11568817136372475
2021-04-21,5.5973631220458675e-16,0.03989176683518128,0.2036075223783114,0.22234322469722256,0.14235375449233043,1.1541556523251855e-16,0.3895619888480504,0.0022417427489032572
2021-07-23,5.517713772307156e-18,1.1446357428705851e-16,0.0,0.26209309674286896,0.28931215582303066,4.215494492386087e-17,0.44859474743410044,0.0
2021-10-29,2.5079988738720273e-16,1.6457348340885897e-18,0.0,0.31611571776648617,0.5989474885673552,4.3664842789167796e-16,0.0849367936661583,0.0
2022-01-27,0.0,0.0,0.0,6.63358257213531e-15,1.0,0.0,0.0,3.608224830031759e-15
2022-05-10,0.0,4.163336342344337e-16,0.0,1.0,4.551914400963142e-15,0.0,2.220446049250313e-16,3.3306690738754696e-15
2022-08-08,0.0,8.465450562766819e-16,0.0,1.0,0.0,0.0,0.0,1.4849232954361469e-15
2022-11-11,0.0,1.400457432140869e-16,2.2462150775381226e-17,1.0,1.5780530712111706e-16,3.782957065230683e-16,0.0,0.0
2023-02-16,0.0,4.733025447839515e-16,0.0,0.34522821626135236,0.0,0.16888815814826147,0.4858836255903868,6.519216169351983e-16
2023-05-22,0.14298385711083306,2.7695673690078433e-16,1.7326203515558374e-16,0.034741029209889356,0.058173506810378674,0.7641016068688985,3.0955723055482224e-16,0.0
2023-08-21,0.6772147488610716,1.201143439786622e-16,1.890332960619224e-16,1.4203542819790484e-16,0.0,0.08427065713522075,0.23851459400370684,6.425789660817437e-16
2023-11-24,1.1843407313116814e-16,0.7037061809405248,0.0,0.0,1.0687689377000225e-16,0.29629381905947527,1.0859737584028879e-16,4.4445633381956856e-17
2024-03-01,0.15122984021254116,0.8487701597874595,0.0,0.0,2.615739436328721e-16,1.198863252056024e-15,0.0,0.0
2024-06-05,0.3549322481311965,0.6450677518688036,0.0,2.3370261582047515e-16,0.0,3.2163740590418636e-17,0.0,2.0771133582812284e-16
2024-09-03,0.2745422658568354,0.5464209446003732,2.2817398356048385e-16,3.048213716867208e-15,0.0,0.17903678954279528,0.0,0.0
2024-12-10,0.08036201316535527,0.5698949393536566,0.0,4.326220778101339e-16,0.09643223661340984,0.0,0.0,0.2533108108675792
