Model,Alpha,Alpha_t_stat,R_squared,MKT_beta,SMB_beta,HML_beta,MOM_beta,P_value_Alpha
Black-Litterman,-0.00016743728016509852,-1.192570884023015,0.6313582889638316,0.8190801662055247,-0.07681841196695026,0.05650668424267198,0.003159938086020275,0.23314852000757982
Markowitz,-5.762550379629837e-05,-3.540661353073127,0.994523270427036,0.978077552395106,-0.124505066114155,0.016769411313916387,-0.005536791477654176,0.0004062792073380865
