Model,Sharpe,Alpha,Turnover,Max Drawdown
Black-Litterman,0.39932494756374676,-0.0001674373776618577,0.0003916960438699569,-0.3509410316092836
Markowitz,0.694770976421258,-5.762575877984856e-05,0.0003916960438699569,-0.3574586461603505
